Name,wins,losses,Win Points,Win Advantages,Win Submissions,Win Decision,Win Penalties,Win EBI / OT,Win DQ,Losses Points,Losses Advantages,Losses Submissions,Losses Decision,Losses Penalties,Losses EBI / OT,Losses DQ
Jeff Glover,34 WINS,17 LOSSES,8,2,23,1,0,0,0,11,2,1,1,0,2,0
Jeremy Jackson,27 WINS,20 LOSSES,11,0,15,0,1,0,0,14,1,3,2,0,0,0
Jeremy Skinner,1 WINS,0 LOSSES,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jessa Khan,8 WINS,8 LOSSES,3,0,4,1,0,0,0,2,1,5,0,0,0,0
Jesse Urholin,15 WINS,4 LOSSES,12,1,1,1,0,0,0,0,1,1,2,0,0,0
João Assis,51 WINS,20 LOSSES,23,2,20,4,0,0,1,7,0,8,5,0,0,0
João Cizeski,5 WINS,7 LOSSES,1,0,3,1,0,0,0,2,1,3,1,0,0,0
João Costa,4 WINS,3 LOSSES,0,1,2,0,0,0,1,0,0,2,1,0,0,0
João Mendes,39 WINS,18 LOSSES,20,8,7,4,0,0,0,5,4,8,1,0,0,0
João Miyao,216 WINS,24 LOSSES,84,10,112,4,1,0,4,12,7,0,3,0,2,0
João Gabriel Rocha,97 WINS,36 LOSSES,38,12,42,5,0,0,0,17,4,10,3,2,0,0
João Paulo Neto,32 WINS,9 LOSSES,13,4,13,2,0,0,0,3,3,2,1,0,0,0
Jorge Patino “Macaco”,7 WINS,7 LOSSES,4,0,2,1,0,0,0,4,0,2,0,0,0,0
John Combs,69 WINS,50 LOSSES,10,1,50,7,0,1,0,18,1,23,6,0,2,0
John Salter,10 WINS,3 LOSSES,7,0,1,1,1,0,0,0,0,1,1,1,0,0
Johnif Rocha,3 WINS,0 LOSSES,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Johnny Tama,78 WINS,56 LOSSES,25,6,38,9,0,0,0,24,10,8,10,0,1,0
Jon Blank,11 WINS,8 LOSSES,1,0,8,2,0,0,0,3,0,3,2,0,0,0
Jonata Gomes,23 WINS,6 LOSSES,9,4,9,1,0,0,0,5,1,0,0,0,0,0
